2.07424e-05, 0, 0, 0, -nan, -nan
0.00342798, 0, 0, 0, -nan, -nan
0.00674653, 0, 0, 0, 0, 0
0.010093, 0, 0, 0, 0, 0
0.0134087, 0, 0, 0, 0, 0
0.0167277, 0, 0, 0, 0, 0
0.0200617, 0, 0, 0, 0, 0
0.0234358, 0, 0, 0, 0, 0
0.0267568, 0, 0, 0, 0, 0
0.0300786, 0, 0, 0, 0, 0
0.0334074, 0, 0, 0, 0, 0
0.0367656, 0, 0, 0, 0, 0
0.0400941, 0, 0, 0, 0, 0
0.0434442, 0, 0, 0, 0, 0
0.0467608, 0, 0, 0, 0, 0
0.0500975, 0, 0, 0, 0, 0
0.0533941, 0, 0, 0, 0, 0
0.0567706, 0, 0, 0, 0, 0
0.0600905, 0, 0, 0, 0, 0
0.0634227, 0, 0, 0, 0, 0
0.0667696, 0, 0, 0, 0, 0
0.070101, 0, 0, 0, 0, 0
0.0734355, 0, 0, 0, 0, 0
0.0767686, 0, 0, 0, 0, 0
0.0801337, 0, 0, 0, 0, 0
0.0834365, 0, 0, 0, 0, 0
0.0867479, 0, 0, 0, 0, 0
0.0900729, 0, 0, 0, 0, 0
0.0934355, 0, 0, 0, 0, 0
0.0967717, 0, 0, 0, 0, 0
0.100083, 0, 0, 0, 0, 0
0.10342, 0, 0, 0, 0, 0
0.106768, 0, 0, 0, 0, 0
0.110097, 0, 0, 0, 0, 0
0.113438, 0, 0, 0, 0, 0
0.116772, 0, 0, 0, 0, 0
0.120102, 0, 0, 0, 0, 0
0.123441, 0, 0, 0, 0, 0
0.126768, 0, 0, 0, 0, 0
0.130096, 0, 0, 0, 0, 0
0.133411, 0, 0, 0, 0, 0
0.136755, 0, 0, 0, 0, 0
0.140141, 0, 0, 0, 0, 0
0.143441, 0, 0, 0, 0, 0
0.146738, 0, 0, 0, 0, 0
0.15007, 0, 0, 0, 0, 0
0.153405, 0, 0, 0, 0, 0
0.156772, 0, 0, 0, 0, 0
0.160071, 0, 0, 0, 0, 0
0.163406, 0, 0, 0, 0, 0
0.166768, 0, 0, 0, 0, 0
0.170073, 0, 0, 0, 0, 0
0.173437, 0, 0, 0, 0, 0
0.176757, 0, 0, 0, 0, 0
0.180071, 0, 0, 0, 0, 0
0.183405, 0, 0, 0, 0, 0
0.186767, 0, 0, 0, 0, 0
0.190102, 0, 0, 0, 0, 0
0.19347, 0, 0, 0, 0, 0
0.196773, 0, 0, 0, 0, 0
0.200071, 0, 0, 0, 0, 0
0.203436, 0, 0, 0, 0, 0
0.206745, 0, 0, 0, 0, 0
0.210104, 0, 0, 0, 0, 0
0.213442, 0, 0, 0, 0, 0
0.216781, 0, 0, 0, 0, 0
0.220094, 0, 0, 0, 0, 0
0.223443, 0, 0, 0, 0, 0
0.226793, 0, 0, 0, 0, 0
0.230148, 0, 0, 0, 0, 0
0.233436, 0, 0, 0, 0, 0
0.236752, 0, 0, 0, 0, 0
0.240149, 0, 0, 0, 0, 0
0.243466, 0, 0, 0, 0, 0
0.246817, 0, 0, 0, 0, 0
0.250112, 0, 0, 0, 0, 0
0.253461, 0, 0, 0, 0, 0
0.256757, 0, 0, 0, 0, 0
0.26008, 0, 0, 0, 0, 0
0.263417, 0, 0, 0, 0, 0
0.266751, 0, 0, 0, 0, 0
0.270081, 0, 0, 0, 0, 0
0.273414, 0, 0, 0, 0, 0
0.276747, 0, 0, 0, 0, 0
0.280083, 0, 0, 0, 0, 0
0.283415, 0, 0, 0, 0, 0
0.286758, 0, 0, 0, 0, 0
0.290079, 0, 0, 0, 0, 0
0.293413, 0, 0, 0, 0, 0
0.296731, 0, 0, 0, 0, 0
0.300081, 0, 0, 0, 0, 0
0.303415, 0, 0, 0, 0, 0
0.306749, 0, 0, 0, 0, 0
0.310076, 0, 0, 0, 0, 0
0.313436, 0, 0, 0, 0, 0
0.316747, 0, 0, 0, 0, 0
0.320111, 0, 0, 0, 0, 0
0.323414, 0, 0, 0, 0, 0
0.326748, 0, 0, 0, 0, 0
0.330083, 0, 0, 0, 0, 0
0.333422, 0, 0, 0, 0, 0
0.336747, 0, 0, 0, 0, 0
0.340081, 0, 0, 0, 0, 0
0.343482, 0, 0, 0, 0, 0
0.346831, 0, 0, 0, 0, 0
0.350081, 0, 0, 0, 0, 0
0.353446, 0, 0, 0, 0, 0
0.356739, 0, 0, 0, 0, 0
0.36008, 0, 0, 0, 0, 0
0.363417, 0, 0, 0, 0, 0
0.366747, 0, 0, 0, 0, 0
0.370081, 0, 0, 0, 0, 0
0.373414, 0, 0, 0, 0, 0
0.376761, 0, 0, 0, 0, 0
0.380091, 0, 0, 0, 0, 0
0.383418, 0, 0, 0, 0, 0
0.386782, 0, 0, 0, 0, 0
0.390116, 0, 0, 0, 0, 0
0.39346, 0, 0, 0, 0, 0
0.396795, 0, 0, 0, 0, 0
0.400095, 0, 0, 0, 0, 0
0.403446, 0, 0, 0, 0, 0
0.406739, 0, 0, 0, 0, 0
0.410075, 0, 0, 0, 0, 0
0.4134, 0, 0, 0, 0, 0
0.416766, 0, 0, 0, 0, 0
0.42006, 0, 0, 0, 0, 0
0.423418, 0, 0, 0, 0, 0
0.426781, 0, 0, 0, 0, 0
0.430092, 0, 0, 0, 0, 0
0.433434, 0, 0, 0, 0, 0
0.436743, 0, 0, 0, 0, 0
0.440065, 0, 0, 0, 0, 0
0.443424, 0, 0, 0, 0, 0
0.446751, 0, 0, 0, 0, 0
0.450083, 0, 0, 0, 0, 0
0.453449, 0, 0, 0, 0, 0
0.456743, 0, 0, 0, 0, 0
0.460065, 0, 0, 0, 0, 0
0.463399, 0, 0, 0, 0, 0
0.466747, 0, 0, 0, 0, 0
0.470081, 0, 0, 0, 0, 0
0.473408, 0, 0, 0, 0, 0
0.476736, 0, 0, 0, 0, 0
0.480066, 0, 0, 0, 0, 0
0.483414, 0, 0, 0, 0, 0
0.486778, 0, 0, 0, 0, 0
0.490075, 0, 0, 0, 0, 0
0.493399, 0, 0, 0, 0, 0
0.496733, 0, 0, 0, 0, 0
0.500077, 0, 0, 0, 0, 0
0.503426, 0, 0, 0, 0, 0
0.506748, 0, 0, 0, 0, 0
0.510096, 0, 0, 0, 0, 0
0.513414, 0, 0, 0, 0, 0
0.516749, 0, 0, 0, 0, 0
0.520062, 0, 0, 0, 0, 0
0.523454, 0, 0, 0, 0, 0
0.526762, 0, 0, 0, 0, 0
0.53011, 0, 0, 0, 0, 0
0.533435, 0, 0, 0, 0, 0
0.536768, 0, 0, 0, 0, 0
0.540068, 0, 0, 0, 0, 0
0.543434, 0, 0, 0, 0, 0
0.546767, 0, 0, 0, 0, 0
0.550095, 0, 0, 0, 0, 0
0.553438, 0, 0, 0, 0, 0
0.556744, 0, 0, 0, 0, 0
0.560111, 0, 0, 0, 0, 0
0.563415, 0, 0, 0, 0, 0
0.56678, 0, 0, 0, 0, 0
0.570102, 0, 0, 0, 0, 0
0.573426, 0, 0, 0, 0, 0
0.576734, 0, 0, 0, 0, 0
0.58009, 0, 0, 0, 0, 0
0.583447, 0, 0, 0, 0, 0
0.586762, 0, 0, 0, 0, 0
0.590115, 0, 0, 0, 0, 0
0.593419, 0, 0, 0, 0, 0
0.596798, 0, 0, 0, 0, 0
0.60009, 0, 0, 0, 0, 0
0.603406, 0, 0, 0, 0, 0
0.60674, 0, 0, 0, 0, 0
0.610062, 0, 0, 0, 0, 0
0.613428, 0, 0, 0, 0, 0
0.616766, 0, 0, 0, 0, 0
0.620104, 0, 0, 0, 0, 0
0.623435, 0, 0, 0, 0, 0
0.626762, 0, 0, 0, 0, 0
0.63008, 0, 0, 0, 0, 0
0.63342, 0, 0, 0, 0, 0
0.636746, 0, 0, 0, 0, 0
0.640101, 0, 0, 0, 0, 0
0.64341, 0, 0, 0, 0, 0
0.646735, 0, 0, 0, 0, 0
0.650089, 0, 0, 0, 0, 0
0.653443, 0, 0, 0, 0, 0
0.656762, 0, 0, 0, 0, 0
0.660095, 0, 0, 0, 0, 0
0.663421, 0, 0, 0, 0, 0
0.666769, 0, 0, 0, 0, 0
0.6701, 0, 0, 0, 0, 0
0.673434, 0, 0, 0, 0, 0
0.676765, 0, 0, 0, 0, 0
0.68008, 0, 0, 0, 0, 0
0.683397, 0, 0, 0, 0, 0
0.686761, 0, 0, 0, 0, 0
0.690104, 0, 0, 0, 0, 0
0.693397, 0, 0, 0, 0, 0
0.696753, 0, 0, 0, 0, 0
0.700114, 0, 0, 0, 0, 0
0.703448, 0, 0, 0, 0, 0
0.706779, 0, 0, 0, 0, 0
0.710051, 0, 0, 0, 0, 0
0.713452, 0, 0, 0, 0, 0
0.716793, 0, 0, 0, 0, 0
0.720171, 0, 0, 0, 0, 0
0.723477, 0, 0, 0, 0, 0
0.72678, 0, 0, 0, 0, 0
0.730124, 0, 0, 0, 0, 0
0.733506, 0, 0, 0, 0, 0
0.736788, 0, 0, 0, 0, 0
0.740155, 0, 0, 0, 0, 0
0.74349, 0, 0, 0, 0, 0
0.746787, 0, 0, 0, 0, 0
0.750126, 0, 0, 0, 0, 0
0.753485, 0, 0, 0, 0, 0
0.756782, 0, 0, 0, 0, 0
0.760101, 0, 0, 0, 0, 0
0.763399, 0, 0, 0, 0, 0
0.766786, 0, 0, 0, 0, 0
0.770102, 0, 0, 0, 0, 0
0.773449, 0, 0, 0, 0, 0
0.776784, 0, 0, 0, 0, 0
0.780086, 0, 0, 0, 0, 0
0.783452, 0, 0, 0, 0, 0
0.786765, 0, 0, 0, 0, 0
0.790114, 0, 0, 0, 0, 0
0.79343, 0, 0, 0, 0, 0
0.796762, 0, 0, 0, 0, 0
0.800084, 0, 0, 0, 0, 0
0.803504, 0, 0, 0, 0, 0
0.806808, 0, 0, 0, 0, 0
0.810077, 0, 0, 0, 0, 0
0.813486, 0, 0, 0, 0, 0
0.816777, 0, 0, 0, 0, 0
0.820089, 0, 0, 0, 0, 0
0.823465, 0, 0, 0, 0, 0
0.826753, 0, 0, 0, 0, 0
0.830086, 0, 0, 0, 0, 0
0.833439, 0, 0, 0, 0, 0
0.8368, 0, 0, 0, 0, 0
0.840082, 0, 0, 0, 0, 0
0.843445, 0, 0, 0, 0, 0
0.846742, 0, 0, 0, 0, 0
0.850087, 0, 0, 0, 0, 0
0.853426, 0, 0, 0, 0, 0
0.856738, 0, 0, 0, 0, 0
0.860108, 0, 0, 0, 0, 0
0.8634, 0, 0, 0, 0, 0
0.866741, 0, 0, 0, 0, 0
0.870102, 0, 0, 0, 0, 0
0.873433, 0, 0, 0, 0, 0
0.876737, 0, 0, 0, 0, 0
0.88007, 0, 0, 0, 0, 0
0.883481, 0, 0, 0, 0, 0
0.886765, 0, 0, 0, 0, 0
0.890146, 0, 0, 0, 0, 0
0.893453, 0, 0, 0, 0, 0
0.896748, 0, 0, 0, 0, 0
0.900096, 0, 0, 0, 0, 0
0.903437, 0, 0, 0, 0, 0
0.906799, 0, 0, 0, 0, 0
0.910069, 0, 0, 0, 0, 0
0.913418, 0, 0, 0, 0, 0
0.916766, 0, 0, 0, 0, 0
0.920125, 0, 0, 0, 0, 0
0.923458, 0, 0, 0, 0, 0
0.92679, 0, 0, 0, 0, 0
0.930082, 0, 0, 0, 0, 0
0.933435, 0, 0, 0, 0, 0
0.936791, 0, 0, 0, 0, 0
0.940114, 0, 0, 0, 0, 0
0.943435, 0, 0, 0, 0, 0
0.94675, 0, 0, 0, 0, 0
0.95011, 0, 0, 0, 0, 0
0.953436, 0, 0, 0, 0, 0
0.956757, 0, 0, 0, 0, 0
0.960151, 0, 0, 0, 0, 0
0.963405, 0, 0, 0, 0, 0
0.966757, 0, 0, 0, 0, 0
0.970081, 0, 0, 0, 0, 0
0.973432, 0, 0, 0, 0, 0
0.97678, 0, 0, 0, 0, 0
0.980084, 0, 0, 0, 0, 0
0.983455, 0, 0, 0, 0, 0
0.986781, 0, 0, 0, 0, 0
0.990092, 0, 0, 0, 0, 0
0.993437, 0, 0, 0, 0, 0
0.99675, 0, 0, 0, 0, 0
1.00008, 0, 0, 0, 0, 0
1.00343, 0, 0, 0, 0, 0
1.00675, 0, 0, 0, 0, 0
1.01008, 0, 0, 0, 0, 0
1.01343, 0, 0, 0, 0, 0
1.01674, 0, 0, 0, 0, 0
1.02015, 0, 0, 0, 0, 0
1.02345, 0, 0, 0, 0, 0
1.02675, 0, 0, 0, 0, 0
1.03012, 0, 0, 0, 0, 0
1.03344, 0, 0, 0, 0, 0
1.03675, 0, 0, 0, 0, 0
1.04011, 0, 0, 0, 0, 0
1.04343, 0, 0, 0, 0, 0
1.04677, 0, 0, 0, 0, 0
1.05012, 0, 0, 0, 0, 0
1.05345, 0, 0, 0, 0, 0
1.05675, 0, 0, 0, 0, 0
1.06012, 0, 0, 0, 0, 0
1.06348, 0, 0, 0, 0, 0
1.06678, 0, 0, 0, 0, 0
1.07006, 0, 0, 0, 0, 0
1.07342, 0, 0, 0, 0, 0
1.07683, 0, 0, 0, 0, 0
1.08006, 0, 0, 0, 0, 0
1.0834, 0, 0, 0, 0, 0
1.08676, 0, 0, 0, 0, 0
1.09007, 0, 0, 0, 0, 0
1.09343, 0, 0, 0, 0, 0
1.09675, 0, 0, 0, 0, 0
1.1001, 0, 0, 0, 0, 0
1.1034, 0, 0, 0, 0, 0
1.10673, 0, 0, 0, 0, 0
1.11006, 0, 0, 0, 0, 0
1.11343, 0, 0, 0, 0, 0
1.11676, 0, 0, 0, 0, 0
1.12007, 0, 0, 0, 0, 0
1.12341, 0, 0, 0, 0, 0
