1.52588e-05, 0, 0, 0, -nan, -nan
0.00340867, 0, 0, 0, -nan, -nan
0.00673199, 0, 0, 0, 0, 0
0.0101025, 0, 0, 0, 0, 0
0.0134256, 0, 0, 0, 0, 0
0.0167811, 0, 0, 0, 0, 0
0.0200815, 0, 0, 0, 0, 0
0.0234323, 0, 0, 0, 0, 0
0.0267625, 0, 0, 0, 0, 0
0.0301065, 0, 0, 0, 0, 0
0.0334694, 0, 0, 0, 0, 0
0.0368037, 0, 0, 0, 0, 0
0.0401378, 0, 0, 0, 0, 0
0.0434709, 0, 0, 0, 0, 0
0.0467603, 0, 0, 0, 0, 0
0.0501378, 0, 0, 0, 0, 0
0.0534079, 0, 0, 0, 0, 0
0.0567605, 0, 0, 0, 0, 0
0.0601082, 0, 0, 0, 0, 0
0.0634673, 0, 0, 0, 0, 0
0.0667651, 0, 0, 0, 0, 0
0.0701096, 0, 0, 0, 0, 0
0.0734701, 0, 0, 0, 0, 0
0.0768042, 0, 0, 0, 0, 0
0.080261, 0, 0, 0, 0, 0
0.0834367, 0, 0, 0, 0, 0
0.0867331, 0, 0, 0, 0, 0
0.0900609, 0, 0, 0, 0, 0
0.0934677, 0, 0, 0, 0, 0
0.096734, 0, 0, 0, 0, 0
0.100069, 0, 0, 0, 0, 0
0.103419, 0, 0, 0, 0, 0
0.106756, 0, 0, 0, 0, 0
0.110135, 0, 0, 0, 0, 0
0.113418, 0, 0, 0, 0, 0
0.116755, 0, 0, 0, 0, 0
0.120136, 0, 0, 0, 0, 0
0.12347, 0, 0, 0, 0, 0
0.12679, 0, 0, 0, 0, 0
0.130104, 0, 0, 0, 0, 0
0.13342, 0, 0, 0, 0, 0
0.136802, 0, 0, 0, 0, 0
0.140138, 0, 0, 0, 0, 0
0.143471, 0, 0, 0, 0, 0
0.146803, 0, 0, 0, 0, 0
0.150138, 0, 0, 0, 0, 0
0.153472, 0, 0, 0, 0, 0
0.156805, 0, 0, 0, 0, 0
0.16014, 0, 0, 0, 0, 0
0.163472, 0, 0, 0, 0, 0
0.166775, 0, 0, 0, 0, 0
0.170135, 0, 0, 0, 0, 0
0.17348, 0, 0, 0, 0, 0
0.176816, 0, 0, 0, 0, 0
0.180079, 0, 0, 0, 0, 0
0.183489, 0, 0, 0, 0, 0
0.186816, 0, 0, 0, 0, 0
0.190095, 0, 0, 0, 0, 0
0.19347, 0, 0, 0, 0, 0
0.196803, 0, 0, 0, 0, 0
0.200136, 0, 0, 0, 0, 0
0.203438, 0, 0, 0, 0, 0
0.206777, 0, 0, 0, 0, 0
0.210062, 0, 0, 0, 0, 0
0.213424, 0, 0, 0, 0, 0
0.216756, 0, 0, 0, 0, 0
0.220085, 0, 0, 0, 0, 0
0.223433, 0, 0, 0, 0, 0
0.226773, 0, 0, 0, 0, 0
0.230103, 0, 0, 0, 0, 0
0.233428, 0, 0, 0, 0, 0
0.236791, 0, 0, 0, 0, 0
0.240074, 0, 0, 0, 0, 0
0.243471, 0, 0, 0, 0, 0
0.246805, 0, 0, 0, 0, 0
0.250139, 0, 0, 0, 0, 0
0.253472, 0, 0, 0, 0, 0
0.256805, 0, 0, 0, 0, 0
0.260142, 0, 0, 0, 0, 0
0.263472, 0, 0, 0, 0, 0
0.266806, 0, 0, 0, 0, 0
0.270136, 0, 0, 0, 0, 0
0.27347, 0, 0, 0, 0, 0
0.276805, 0, 0, 0, 0, 0
0.280076, 0, 0, 0, 0, 0
0.283444, 0, 0, 0, 0, 0
0.286804, 0, 0, 0, 0, 0
0.290138, 0, 0, 0, 0, 0
0.293497, 0, 0, 0, 0, 0
0.296813, 0, 0, 0, 0, 0
0.300149, 0, 0, 0, 0, 0
0.303452, 0, 0, 0, 0, 0
0.306812, 0, 0, 0, 0, 0
0.31015, 0, 0, 0, 0, 0
0.313432, 0, 0, 0, 0, 0
0.316814, 0, 0, 0, 0, 0
0.320118, 0, 0, 0, 0, 0
0.323484, 0, 0, 0, 0, 0
0.326766, 0, 0, 0, 0, 0
0.330102, 0, 0, 0, 0, 0
0.333433, 0, 0, 0, 0, 0
0.336814, 0, 0, 0, 0, 0
0.340156, 0, 0, 0, 0, 0
0.343484, 0, 0, 0, 0, 0
0.346817, 0, 0, 0, 0, 0
0.350151, 0, 0, 0, 0, 0
0.353471, 0, 0, 0, 0, 0
0.356816, 0, 0, 0, 0, 0
0.360152, 0, 0, 0, 0, 0
0.363486, 0, 0, 0, 0, 0
0.366815, 0, 0, 0, 0, 0
0.37015, 0, 0, 0, 0, 0
0.373483, 0, 0, 0, 0, 0
0.376817, 0, 0, 0, 0, 0
0.38016, 0, 0, 0, 0, 0
0.383461, 0, 0, 0, 0, 0
0.386769, 0, 0, 0, 0, 0
0.390148, 0, 0, 0, 0, 0
0.393485, 0, 0, 0, 0, 0
0.396817, 0, 0, 0, 0, 0
0.400153, 0, 0, 0, 0, 0
0.403461, 0, 0, 0, 0, 0
0.406815, 0, 0, 0, 0, 0
0.410105, 0, 0, 0, 0, 0
0.413433, 0, 0, 0, 0, 0
0.416815, 0, 0, 0, 0, 0
0.420149, 0, 0, 0, 0, 0
0.423484, 0, 0, 0, 0, 0
0.426784, 0, 0, 0, 0, 0
0.430104, 0, 0, 0, 0, 0
0.433435, 0, 0, 0, 0, 0
0.436815, 0, 0, 0, 0, 0
0.440114, 0, 0, 0, 0, 0
0.443485, 0, 0, 0, 0, 0
0.446815, 0, 0, 0, 0, 0
0.45012, 0, 0, 0, 0, 0
0.453483, 0, 0, 0, 0, 0
0.456817, 0, 0, 0, 0, 0
0.460151, 0, 0, 0, 0, 0
0.463484, 0, 0, 0, 0, 0
0.466815, 0, 0, 0, 0, 0
0.47012, 0, 0, 0, 0, 0
0.473484, 0, 0, 0, 0, 0
0.476817, 0, 0, 0, 0, 0
0.480151, 0, 0, 0, 0, 0
0.483484, 0, 0, 0, 0, 0
0.486816, 0, 0, 0, 0, 0
0.490121, 0, 0, 0, 0, 0
0.493505, 0, 0, 0, 0, 0
0.496842, 0, 0, 0, 0, 0
0.500177, 0, 0, 0, 0, 0
0.50351, 0, 0, 0, 0, 0
0.506845, 0, 0, 0, 0, 0
0.510126, 0, 0, 0, 0, 0
0.51344, 0, 0, 0, 0, 0
0.516806, 0, 0, 0, 0, 0
0.520142, 0, 0, 0, 0, 0
0.523501, 0, 0, 0, 0, 0
0.526801, 0, 0, 0, 0, 0
0.53014, 0, 0, 0, 0, 0
0.533446, 0, 0, 0, 0, 0
0.536829, 0, 0, 0, 0, 0
0.540125, 0, 0, 0, 0, 0
0.543498, 0, 0, 0, 0, 0
0.546831, 0, 0, 0, 0, 0
0.550136, 0, 0, 0, 0, 0
0.553497, 0, 0, 0, 0, 0
0.55683, 0, 0, 0, 0, 0
0.560164, 0, 0, 0, 0, 0
0.563469, 0, 0, 0, 0, 0
0.567323, 0, 0, 0, 0, 0
0.570121, 0, 0, 0, 0, 0
0.573525, 0, 0, 0, 0, 0
0.576747, 0, 0, 0, 0, 0
0.580064, 0, 0, 0, 0, 0
0.583413, 0, 0, 0, 0, 0
0.586781, 0, 0, 0, 0, 0
0.590105, 0, 0, 0, 0, 0
0.593424, 0, 0, 0, 0, 0
0.59679, 0, 0, 0, 0, 0
0.600153, 0, 0, 0, 0, 0
0.603446, 0, 0, 0, 0, 0
0.606763, 0, 0, 0, 0, 0
0.610149, 0, 0, 0, 0, 0
0.613484, 0, 0, 0, 0, 0
0.616818, 0, 0, 0, 0, 0
0.620118, 0, 0, 0, 0, 0
0.623486, 0, 0, 0, 0, 0
0.626817, 0, 0, 0, 0, 0
0.630151, 0, 0, 0, 0, 0
0.633487, 0, 0, 0, 0, 0
0.636818, 0, 0, 0, 0, 0
0.640153, 0, 0, 0, 0, 0
0.643487, 0, 0, 0, 0, 0
0.646819, 0, 0, 0, 0, 0
0.650151, 0, 0, 0, 0, 0
0.653449, 0, 0, 0, 0, 0
0.656749, 0, 0, 0, 0, 0
0.660117, 0, 0, 0, 0, 0
0.663457, 0, 0, 0, 0, 0
0.666816, 0, 0, 0, 0, 0
0.670077, 0, 0, 0, 0, 0
0.673483, 0, 0, 0, 0, 0
0.676818, 0, 0, 0, 0, 0
