2.45571e-05, 0, 0, -nan, -nan
0.0034008, 0, 0, 0, 0
0.00672722, 0, 0, 0, 0
0.0100675, 0, 0, 0, 0
0.0133932, 0, 0, 0, 0
0.0167394, 0, 0, 0, 0
0.0200691, 0, 0, 0, 0
0.0234017, 0, 0, 0, 0
0.0267406, 0, 0, 0, 0
0.0300734, 0, 0, 0, 0
0.0334027, 0, 0, 0, 0
0.0367396, 0, 0, 0, 0
0.0400722, 0, 0, 0, 0
0.043406, 0, 0, 0, 0
0.0467432, 0, 0, 0, 0
0.0500767, 0, 0, 0, 0
0.0534101, 0, 0, 0, 0
0.056726, 0, 0, 0, 0
0.0600536, 0, 0, 0, 0
0.0634017, 0, 0, 0, 0
0.0667429, 0, 0, 0, 0
0.0700772, 0, 0, 0, 0
0.0734105, 0, 0, 0, 0
0.0767431, 0, 0, 0, 0
0.0800591, 0, 0, 0, 0
0.0834107, 0, 0, 0, 0
0.0867436, 0, 0, 0, 0
0.0900776, 0, 0, 0, 0
0.0934103, 0, 0, 0, 0
0.0967441, 0, 0, 0, 0
0.100077, 0, 0, 0, 0
0.10341, 0, 0, 0, 0
0.106744, 0, 0, 0, 0
0.110077, 0, 0, 0, 0
0.113393, 0, 0, 0, 0
0.116744, 0, 0, 0, 0
0.120077, 0, 0, 0, 0
0.12341, 0, 0, 0, 0
0.126743, 0, 0, 0, 0
0.130077, 0, 0, 0, 0
0.13341, 0, 0, 0, 0
0.136744, 0, 0, 0, 0
0.140077, 0, 0, 0, 0
0.14341, 0, 0, 0, 0
0.146744, 0, 0, 0, 0
0.150077, 0, 0, 0, 0
0.153411, 0, 0, 0, 0
0.156738, 0, 0, 0, 0
0.160077, 0, 0, 0, 0
0.163405, 0, 0, 0, 0
0.166747, 0, 0, 0, 0
0.170077, 0, 0, 0, 0
0.173409, 0, 0, 0, 0
0.176744, 0, 0, 0, 0
0.180057, 0, 0, 0, 0
0.183405, 0, 0, 0, 0
0.186744, 0, 0, 0, 0
0.190077, 0, 0, 0, 0
0.193411, 0, 0, 0, 0
0.196744, 0, 0, 0, 0
0.200077, 0, 0, 0, 0
0.20341, 0, 0, 0, 0
0.206743, 0, 0, 0, 0
0.210077, 0, 0, 0, 0
0.213411, 0, 0, 0, 0
0.216744, 0, 0, 0, 0
0.220077, 0, 0, 0, 0
0.223405, 0, 0, 0, 0
0.226744, 0, 0, 0, 0
0.230076, 0, 0, 0, 0
0.233413, 0, 0, 0, 0
0.236743, 0, 0, 0, 0
0.240077, 0, 0, 0, 0
0.24341, 0, 0, 0, 0
0.246743, 0, 0, 0, 0
0.250076, 0, 0, 0, 0
0.25341, 0, 0, 0, 0
0.257486, 0, 0, 0, 0
0.260097, 0, 0, 0, 0
0.263429, 0, 0, 0, 0
0.266759, 0, 0, 0, 0
0.270093, 0, 0, 0, 0
0.273428, 0, 0, 0, 0
0.276783, 0, 0, 0, 0
0.280108, 0, 0, 0, 0
0.283431, 0, 0, 0, 0
0.286731, 0, 0, 0, 0
0.2901, 0, 0, 0, 0
0.293428, 0, 0, 0, 0
0.296736, 0, 0, 0, 0
0.300061, 0, 0, 0, 0
0.303407, 0, 0, 0, 0
0.30673, 0, 0, 0, 0
0.310062, 0, 0, 0, 0
0.313753, 0, 0, 0, 0
0.316728, 0, 0, 0, 0
