16.7001, 5400, 1800, 0, -nan, -nan
16.7101, 5400, 1800, 0, -nan, -nan
16.7201, 5400, 1800, -9.9301e-05, 0, 0
16.7301, 5400, 1800, -9.9301e-05, 0, 0
16.7401, 5400, 1800, -0.000170288, 0, 0
16.7501, 5400, 1800, -0.000170288, 0, 0
16.7601, 5400, 1800, -0.000149165, 0, 0
16.7701, 5400, 1800, -0.000149165, 0, 0
16.7801, 5400, 1800, -0.00013548, 0, 0
16.7901, 5400, 1800, -0.00013548, 0, 0
16.8001, 5400, 1800.31, -9.49703e-05, 0, 0
16.8101, 5400, 1800.31, -9.49703e-05, 0.00177441, 30.85
16.8201, 5400.31, 1801.85, -0.000102504, 0, 0
16.8301, 5400.31, 1801.85, -0.000102504, 30.8494, 154.196
16.8401, 5400.31, 1801.85, -0.000102504, 0, 0
16.8501, 5400.46, 1803.7, -0.000163973, 0, 0
16.8601, 5400.31, 1805.25, -0.000122185, 15.4352, 184.975
16.8701, 5400.31, 1805.25, -0.000122185, -15.4143, 154.303
16.8801, 5400.15, 1806.79, -0.000106981, 0, 0
16.8901, 5400.15, 1806.79, -0.000106981, -15.407, 154.207
16.9001, 5399.85, 1808.79, -0.000133257, 0, 0
16.9101, 5399.85, 1808.79, -0.000133257, -30.8613, 200.69
16.9201, 5399.69, 1810.95, -0.000132458, 0, 0
16.9301, 5399.69, 1810.95, -0.000132458, -15.3953, 215.828
16.9401, 5399.38, 1813.58, -0.000202115, 0, 0
16.9501, 5399.38, 1813.58, -0.000202115, -30.7432, 261.637
16.9601, 5398.92, 1815.74, -0.000174959, 0, 0
16.9701, 5398.92, 1815.74, -0.000174959, -46.228, 215.89
16.9801, 5398.3, 1817.9, -0.000127948, 0, 0
16.9901, 5398.3, 1817.9, -0.000127948, -61.654, 215.896
17.0001, 5398.3, 1817.9, -0.000127948, 0, 0
17.0101, 5398, 1819.6, -0.000136283, 0, 0
17.0201, 5398, 1820.83, -0.000137152, -30.8227, 169.613
17.0301, 5398, 1820.83, -0.000137152, 0.0128248, 123.435
17.0401, 5397.84, 1822.68, -0.000161668, 0, 0
17.0501, 5397.84, 1822.68, -0.000161668, -15.3991, 185.058
17.0601, 5397.84, 1825.61, -0.000118104, 0, 0
17.0701, 5397.84, 1825.61, -0.000118104, 0.0285301, 293.005
17.0801, 5397.69, 1829.32, -7.63962e-05, 0, 0
17.0901, 5397.69, 1829.32, -7.63962e-05, -15.3889, 370.016
17.1001, 5397.69, 1829.32, -7.63962e-05, 0, 0
17.1101, 5397.53, 1833.17, -9.92202e-05, 0, 0
17.1201, 5397.53, 1837.03, -0.000111781, -15.4071, 385.671
17.1301, 5397.53, 1837.03, -0.000111781, 0.0284441, 385.726
17.1401, 5397.69, 1841.2, -0.000144904, 0, 0
17.1501, 5397.69, 1841.2, -0.000144904, 15.4664, 416.334
17.1601, 5397.69, 1845.36, -0.000124342, 0, 0
17.1701, 5397.69, 1845.36, -0.000124342, 0.0418875, 416.386
17.1801, 5397.69, 1849.99, -0.000105451, 0, 0
17.1901, 5397.69, 1849.99, -0.000105451, 0.0374261, 462.563
17.2001, 5397.69, 1849.99, -0.000105451, 0, 0
17.2101, 5397.69, 1854.47, -0.000107481, 0, 0
17.2201, 5397.85, 1858.63, -0.000135996, 0.0345663, 446.909
17.2301, 5397.85, 1858.63, -0.000135996, 15.4735, 416.721
17.2401, 5397.85, 1862.49, -0.000107776, 0, 0
17.2501, 5397.85, 1862.49, -0.000107776, 0.0394635, 385.404
17.2601, 5398.31, 1866.96, -0.000136767, 0, 0
17.2701, 5398.31, 1866.96, -0.000136767, 46.3363, 447.47
17.2801, 5398.31, 1866.96, -0.000136767, 0, 0
17.2901, 5398.77, 1872.06, -0.000368782, 0, 0
17.3001, 5398.77, 1872.06, -0.000368782, 46.32, 508.859
