42.2301, 5400, 1800, 0, -nan, -nan
42.2401, 5400, 1800, 0, -nan, -nan
42.2501, 5400, 1800, 1.64605e-05, 0, 0
42.2601, 5400, 1800, 1.64605e-05, 0, 0
42.2701, 5400, 1800.15, -1.108e-05, 0, 0
42.2801, 5400, 1800.15, -1.108e-05, -0.00372802, 15.3997
42.2901, 5400, 1800.31, -3.85719e-06, 0, 0
42.3001, 5400, 1800.31, -3.85719e-06, -0.00374016, 15.4511
42.3101, 5400, 1800.31, -3.85719e-06, 0, 0
42.3201, 5400.15, 1800.93, -2.27657e-05, 0, 0
42.3301, 5400, 1801.85, -0.000245477, 15.4234, 61.7566
42.3401, 5400, 1801.85, -0.000245477, -15.4355, 92.5057
42.3501, 5400, 1802.62, 0.000604421, 0, 0
42.36, 5400, 1802.62, 0.000604421, -0.0379322, 77.0405
42.3701, 5400, 1803.55, 0.000697924, 0, 0
42.3801, 5400, 1803.55, 0.000697924, -0.0789666, 91.9895
42.3901, 5399.84, 1804.47, 0.000874343, 0, 0
42.4001, 5399.84, 1804.47, 0.000874343, -15.5178, 92.4901
42.4101, 5399.69, 1805.55, 0.000523494, 0, 0
42.4201, 5399.69, 1805.55, 0.000523494, -15.5392, 108.135
42.4301, 5399.69, 1806.94, 0.000302944, 0, 0
42.4401, 5399.69, 1806.94, 0.000302944, -0.0992327, 138.707
42.4501, 5399.69, 1806.94, 0.000302944, 0, 0
42.4601, 5399.53, 1808.18, -0.000451812, 0, 0
42.4701, 5399.22, 1809.41, -0.00084617, -15.4418, 123.371
42.4801, 5399.22, 1809.41, -0.00084617, -30.8028, 123.46
42.4901, 5399.22, 1809.41, -0.00084617, 0, 0
42.5001, 5399.23, 1810.65, -0.00168458, 0, 0
42.5101, 5399.07, 1811.73, -0.00277853, 0.132504, 123.382
42.5201, 5399.07, 1811.73, -0.00277853, -15.228, 108.041
42.5301, 5399.08, 1812.96, -0.0033218, 0, 0
42.5401, 5399.08, 1812.96, -0.0033218, 0.327251, 123.36
42.5501, 5399.08, 1812.96, -0.0033218, 0, 0
42.5601, 5398.93, 1814.2, -0.00501737, 0, 0
42.5701, 5398.78, 1815.28, -0.00577331, -14.9369, 123.451
42.5801, 5398.78, 1815.28, -0.00577331, -14.8637, 108.089
42.5901, 5398.79, 1816.36, -0.00812141, 0, 0
42.6001, 5398.79, 1816.36, -0.00812141, 0.708612, 107.941
42.6101, 5398.79, 1816.36, -0.00812141, 0, 0
42.6201, 5398.79, 1817.13, -0.00980204, 0, 0
42.6301, 5398.8, 1818.05, -0.0107245, 0.674429, 76.9461
42.6401, 5398.8, 1818.05, -0.0107245, 0.92025, 92.5994
42.6501, 5398.66, 1819.44, -0.0123344, 0, 0
42.6601, 5398.66, 1819.44, -0.0123344, -13.8051, 138.81
42.6701, 5398.66, 1819.44, -0.0123344, 0, 0
42.6801, 5398.69, 1821.6, -0.0135213, 0, 0
42.6901, 5398.69, 1821.6, -0.0135213, 2.80119, 215.798
42.7001, 5398.42, 1824.23, -0.0152092, 0, 0
42.7101, 5398.42, 1824.23, -0.0152092, -27.1225, 262.758
42.7201, 5398.47, 1827.16, -0.0173509, 0, 0
42.7301, 5398.47, 1827.16, -0.0173509, 4.69039, 292.65
42.7401, 5398.83, 1830.24, -0.0181235, 0, 0
42.7501, 5398.83, 1830.24, -0.0181235, 36.1752, 307.819
42.7601, 5398.74, 1833.64, -0.020089, 0, 0
42.7701, 5398.74, 1833.64, -0.020089, -9.01915, 339.892
42.7801, 5398.82, 1837.65, -0.0206733, 0, 0
42.7901, 5398.82, 1837.65, -0.0206733, 8.08451, 400.707
42.8001, 5399.06, 1841.66, -0.0225744, 0, 0
42.8101, 5399.06, 1841.66, -0.0225744, 23.9904, 400.681
42.8201, 5399.31, 1845.66, -0.0239467, 0, 0
42.8301, 5399.31, 1845.66, -0.0239467, 24.6796, 400.211
42.8401, 5399.31, 1845.66, -0.0239467, 0, 0
42.8501, 5399.31, 1845.66, -0.0239467, 0, 0
42.8601, 5399.8, 1853.21, -0.0268687, 0, 0
42.8701, 5399.8, 1853.21, -0.0268687, 49.4275, 753.871
42.8801, 5400.04, 1856.45, -0.0277714, 0, 0
42.8901, 5400.04, 1856.45, -0.0277714, 24.2223, 323.637
42.9001, 5399.99, 1860, -0.0300763, 0, 0
42.9101, 5399.99, 1860, -0.0300763, -5.18683, 354.467
42.9201, 5400.13, 1864.47, -0.0316727, 0, 0
42.9301, 5400.13, 1864.47, -0.0316727, 13.7139, 447.065
42.9401, 5400.44, 1869.25, -0.0329889, 0, 0
42.9501, 5400.44, 1869.25, -0.0329889, 30.6664, 477.292
42.9601, 5400.74, 1873.56, -0.0346148, 0, 0
42.9701, 5400.74, 1873.56, -0.0346148, 29.8556, 430.445
42.9801, 5400.57, 1877.58, -0.0352501, 0, 0
42.9901, 5400.57, 1877.58, -0.0352501, -16.8979, 401.53
43.0001, 5400.7, 1881.28, -0.0372202, 0, 0
43.0101, 5400.7, 1881.28, -0.0372202, 13.3343, 369.883
43.0201, 5400.84, 1885.14, -0.0382418, 0, 0
43.0301, 5400.84, 1885.14, -0.0382418, 14.4676, 385.335
43.0401, 5401.14, 1888.83, -0.0393602, 0, 0
43.0501, 5401.14, 1888.83, -0.0393602, 29.6438, 369.206
43.0601, 5401.16, 1893.15, -0.0414441, 0, 0
43.0701, 5401.16, 1893.15, -0.0414441, 1.97309, 431.852
43.0801, 5401.21, 1898.09, -0.042058, 0, 0
43.0901, 5401.21, 1898.09, -0.042058, 5.08332, 494.413
43.1001, 5401.25, 1902.57, -0.0442354, 0, 0
43.1101, 5401.25, 1902.57, -0.0442354, 3.85524, 448.179
43.1201, 5400.96, 1906.45, -0.0458878, 0, 0
43.1301, 5400.96, 1906.45, -0.0458878, -28.8605, 387.369
43.1401, 5400.98, 1910.15, -0.0471976, 0, 0
43.1501, 5400.98, 1910.15, -0.0471976, 1.66494, 370.202
43.1601, 5401.16, 1913.85, -0.0494532, 0, 0
43.1701, 5401.16, 1913.85, -0.0494532, 17.78, 369.173
43.1801, 5401.18, 1917.4, -0.050116, 0, 0
43.1901, 5401.18, 1917.4, -0.050116, 2.22016, 355.757
43.2001, 5401.06, 1921.12, -0.0522531, 0, 0
43.2101, 5401.06, 1921.12, -0.0522531, -11.847, 371.237
43.2201, 5400.83, 1925.61, -0.0533831, 0, 0
43.2301, 5400.83, 1925.61, -0.0533831, -22.6126, 448.795
43.2401, 5400.78, 1930.4, -0.0542933, 0, 0
43.2501, 5400.78, 1930.4, -0.0542933, -5.2023, 478.275
43.2601, 5400.78, 1930.4, -0.0542933, 0, 0
43.2701, 5400.69, 1934.43, -0.0556172, 0, 0
43.2801, 5400.6, 1938.29, -0.055921, -8.8716, 401.822
43.2901, 5400.6, 1938.29, -0.055921, -9.40676, 386.844
43.3001, 5400.65, 1942, -0.0584498, 0, 0
43.3101, 5400.65, 1942, -0.0584498, 5.63078, 369.665
43.3201, 5400.86, 1945.39, -0.0601061, 0, 0
43.3301, 5400.86, 1945.39, -0.0601061, 20.1169, 338.721
43.3401, 5400.79, 1949.41, -0.061937, 0, 0
43.3501, 5400.79, 1949.41, -0.061937, -6.53625, 402.3
43.3601, 5400.78, 1954.2, -0.0642751, 0, 0
43.3701, 5400.78, 1954.2, -0.0642751, -0.658462, 478.886
43.3801, 5401.14, 1959.75, -0.0650803, 0, 0
43.3901, 5401.14, 1959.75, -0.0650803, 35.7843, 554.756
43.4001, 5401.31, 1964.68, -0.0671299, 0, 0
43.4101, 5401.31, 1964.68, -0.0671299, 17.0659, 493.479
43.4201, 5401.46, 1969.16, -0.0683403, 0, 0
43.4301, 5401.46, 1969.16, -0.0683403, 14.851, 447.316
43.4401, 5401.89, 1973.15, -0.0700709, 0, 0
43.4501, 5401.89, 1973.15, -0.0700709, 42.9431, 398.637
43.4601, 5402.33, 1977.14, -0.0718793, 0, 0
43.4701, 5402.33, 1977.14, -0.0718793, 43.7871, 398.899
43.4801, 5402.77, 1981.13, -0.0727543, 0, 0
43.4901, 5402.77, 1981.13, -0.0727543, 44.2404, 398.651
43.5001, 5403.44, 1986.03, -0.0749673, 0, 0
43.5101, 5403.44, 1986.03, -0.0749673, 67.0482, 490.013
43.5201, 5404.05, 1992.02, -0.0762864, 0, 0
43.5301, 5404.05, 1992.02, -0.0762864, 60.8433, 598.577
43.5401, 5404.49, 1997.71, -0.076634, 0, 0
43.5501, 5404.49, 1997.71, -0.076634, 43.4763, 568.995
43.5601, 5404.89, 2002.94, -0.0778526, 0, 0
43.5701, 5404.89, 2002.94, -0.0778526, 40.3186, 522.733
43.5801, 5405.11, 2007.72, -0.0784497, 0, 0
43.5901, 5405.11, 2007.72, -0.0784497, 21.8706, 478.632
43.6001, 5405.45, 2012.03, -0.0797967, 0, 0
43.6101, 5405.45, 2012.03, -0.0797967, 34.0308, 430.405
43.6201, 5405.78, 2016.18, -0.0812507, 0, 0
43.6301, 5405.78, 2016.18, -0.0812507, 33.4842, 415.352
43.6401, 5405.98, 2020.5, -0.0833137, 0, 0
43.6501, 5405.98, 2020.5, -0.0833137, 19.8825, 431.39
43.6601, 5406.33, 2026.51, -0.0855712, 0, 0
43.6701, 5406.33, 2026.51, -0.0855712, 35.2754, 601.633
43.6801, 5406.4, 2032.7, -0.0862093, 0, 0
43.6901, 5406.4, 2032.7, -0.0862093, 6.65637, 618.945
43.7001, 5406.14, 2038.61, -0.0882169, 0, 0
43.7101, 5406.14, 2038.61, -0.0882169, -25.9276, 589.412
43.7201, 5405.98, 2043.73, -0.0893876, 0, 0
43.7301, 5405.98, 2043.73, -0.0893876, -16.3497, 512.317
43.7401, 5405.98, 2043.73, -0.0893876, 0, 0
