1.52588e-05, 0, 0, 0, -nan, -nan
0.00339508, 0, 0, 0, -nan, -nan
0.00675321, 0, 0, 0, 0, 0
0.0100846, 0, 0, 0, 0, 0
0.0133991, 0, 0, 0, 0, 0
0.0167291, 0, 0, 0, 0, 0
0.0200977, 0, 0, 0, 0, 0
0.0234697, 0, 0, 0, 0, 0
0.0267787, 0, 0, 0, 0, 0
0.0301011, 0, 0, 0, 0, 0
0.0334721, 0, 0, 0, 0, 0
0.0368042, 0, 0, 0, 0, 0
0.0401032, 0, 0, 0, 0, 0
0.0434363, 0, 0, 0, 0, 0
0.0468028, 0, 0, 0, 0, 0
0.0501347, 0, 0, 0, 0, 0
0.0534692, 0, 0, 0, 0, 0
0.0568078, 0, 0, 0, 0, 0
0.0601387, 0, 0, 0, 0, 0
0.063422, 0, 0, 0, 0, 0
0.0667553, 0, 0, 0, 0, 0
0.0700822, 0, 0, 0, 0, 0
0.073441, 0, 0, 0, 0, 0
0.0767679, 0, 0, 0, 0, 0
0.0801072, 0, 0, 0, 0, 0
0.0834429, 0, 0, 0, 0, 0
0.0867589, 0, 0, 0, 0, 0
0.0901031, 0, 0, 0, 0, 0
0.09342, 0, 0, 0, 0, 0
0.0967739, 0, 0, 0, 0, 0
0.10011, 0, 0, 0, 0, 0
0.103444, 0, 0, 0, 0, 0
0.106777, 0, 0, 0, 0, 0
0.110108, 0, 0, 0, 0, 0
0.113428, 0, 0, 0, 0, 0
0.116803, 0, 0, 0, 0, 0
0.120096, 0, 0, 0, 0, 0
0.123471, 0, 0, 0, 0, 0
0.126806, 0, 0, 0, 0, 0
0.130138, 0, 0, 0, 0, 0
0.133471, 0, 0, 0, 0, 0
0.136804, 0, 0, 0, 0, 0
0.140137, 0, 0, 0, 0, 0
0.143471, 0, 0, 0, 0, 0
0.146807, 0, 0, 0, 0, 0
0.150137, 0, 0, 0, 0, 0
0.153472, 0, 0, 0, 0, 0
0.156804, 0, 0, 0, 0, 0
0.160137, 0, 0, 0, 0, 0
0.163471, 0, 0, 0, 0, 0
0.166806, 0, 0, 0, 0, 0
0.170137, 0, 0, 0, 0, 0
0.173471, 0, 0, 0, 0, 0
0.176758, 0, 0, 0, 0, 0
0.180135, 0, 0, 0, 0, 0
0.183422, 0, 0, 0, 0, 0
0.186759, 0, 0, 0, 0, 0
0.190134, 0, 0, 0, 0, 0
0.19347, 0, 0, 0, 0, 0
0.196802, 0, 0, 0, 0, 0
