2.07424e-05, 0, 0, 0, -nan, -nan
0.00342202, 0, 0, 0, -nan, -nan
0.00674224, 0, 0, 0, 0, 0
0.0100663, 0, 0, 0, 0, 0
0.0134261, 0, 0, 0, 0, 0
0.0167346, 0, 0, 0, 0, 0
0.0201056, 0, 0, 0, 0, 0
0.023416, 0, 0, 0, 0, 0
0.0267236, 0, 0, 0, 0, 0
0.0300908, 0, 0, 0, 0, 0
0.0334346, 0, 0, 0, 0, 0
0.0367563, 0, 0, 0, 0, 0
0.0400665, 0, 0, 0, 0, 0
0.0434127, 0, 0, 0, 0, 0
0.0467641, 0, 0, 0, 0, 0
0.0500705, 0, 0, 0, 0, 0
0.0534291, 0, 0, 0, 0, 0
0.0567729, 0, 0, 0, 0, 0
0.0601039, 0, 0, 0, 0, 0
0.0634258, 0, 0, 0, 0, 0
0.0667591, 0, 0, 0, 0, 0
0.0700929, 0, 0, 0, 0, 0
0.0734224, 0, 0, 0, 0, 0
0.0767624, 0, 0, 0, 0, 0
0.080148, 0, 0, 0, 0, 0
0.0834253, 0, 0, 0, 0, 0
0.0868177, 0, 0, 0, 0, 0
0.0901153, 0, 0, 0, 0, 0
0.0934491, 0, 0, 0, 0, 0
0.0967677, 0, 0, 0, 0, 0
0.100101, 0, 0, 0, 0, 0
0.10346, 0, 0, 0, 0, 0
0.106765, 0, 0, 0, 0, 0
0.110099, 0, 0, 0, 0, 0
0.113429, 0, 0, 0, 0, 0
0.116779, 0, 0, 0, 0, 0
0.120096, 0, 0, 0, 0, 0
0.123483, 0, 0, 0, 0, 0
0.126817, 0, 0, 0, 0, 0
0.13015, 0, 0, 0, 0, 0
0.133484, 0, 0, 0, 0, 0
0.136747, 0, 0, 0, 0, 0
0.140098, 0, 0, 0, 0, 0
0.143431, 0, 0, 0, 0, 0
0.146815, 0, 0, 0, 0, 0
0.150121, 0, 0, 0, 0, 0
0.153483, 0, 0, 0, 0, 0
0.156817, 0, 0, 0, 0, 0
0.160105, 0, 0, 0, 0, 0
0.163483, 0, 0, 0, 0, 0
0.166816, 0, 0, 0, 0, 0
0.170103, 0, 0, 0, 0, 0
0.173463, 0, 0, 0, 0, 0
0.176748, 0, 0, 0, 0, 0
0.180103, 0, 0, 0, 0, 0
0.183444, 0, 0, 0, 0, 0
0.186766, 0, 0, 0, 0, 0
0.19012, 0, 0, 0, 0, 0
0.193455, 0, 0, 0, 0, 0
0.196788, 0, 0, 0, 0, 0
0.200101, 0, 0, 0, 0, 0
0.203449, 0, 0, 0, 0, 0
0.206747, 0, 0, 0, 0, 0
0.210104, 0, 0, 0, 0, 0
0.213448, 0, 0, 0, 0, 0
0.216814, 0, 0, 0, 0, 0
0.220099, 0, 0, 0, 0, 0
0.223444, 0, 0, 0, 0, 0
0.226812, 0, 0, 0, 0, 0
0.230104, 0, 0, 0, 0, 0
0.233481, 0, 0, 0, 0, 0
0.236816, 0, 0, 0, 0, 0
0.240099, 0, 0, 0, 0, 0
0.243464, 0, 0, 0, 0, 0
0.246785, 0, 0, 0, 0, 0
0.250101, 0, 0, 0, 0, 0
0.253446, 0, 0, 0, 0, 0
0.256792, 0, 0, 0, 0, 0
0.260105, 0, 0, 0, 0, 0
0.263452, 0, 0, 0, 0, 0
0.266815, 0, 0, 0, 0, 0
0.270151, 0, 0, 0, 0, 0
0.273449, 0, 0, 0, 0, 0
0.276779, 0, 0, 0, 0, 0
0.28012, 0, 0, 0, 0, 0
0.28343, 0, 0, 0, 0, 0
0.286756, 0, 0, 0, 0, 0
0.290099, 0, 0, 0, 0, 0
0.29343, 0, 0, 0, 0, 0
0.296768, 0, 0, 0, 0, 0
0.300102, 0, 0, 0, 0, 0
0.303491, 0, 0, 0, 0, 0
0.306789, 0, 0, 0, 0, 0
0.310148, 0, 0, 0, 0, 0
0.313484, 0, 0, 0, 0, 0
0.316817, 0, 0, 0, 0, 0
0.320127, 0, 0, 0, 0, 0
0.323404, 0, 0, 0, 0, 0
0.326785, 0, 0, 0, 0, 0
0.330091, 0, 0, 0, 0, 0
0.333482, 0, 0, 0, 0, 0
0.336817, 0, 0, 0, 0, 0
0.340152, 0, 0, 0, 0, 0
0.343482, 0, 0, 0, 0, 0
0.346817, 0, 0, 0, 0, 0
0.350148, 0, 0, 0, 0, 0
0.353485, 0, 0, 0, 0, 0
0.35678, 0, 0, 0, 0, 0
0.360176, 0, 0, 0, 0, 0
0.363495, 0, 0, 0, 0, 0
0.366842, 0, 0, 0, 0, 0
0.370151, 0, 0, 0, 0, 0
0.373485, 0, 0, 0, 0, 0
0.376787, 0, 0, 0, 0, 0
0.38015, 0, 0, 0, 0, 0
0.38346, 0, 0, 0, 0, 0
0.386746, 0, 0, 0, 0, 0
0.39015, 0, 0, 0, 0, 0
0.393483, 0, 0, 0, 0, 0
0.396782, 0, 0, 0, 0, 0
0.400104, 0, 0, 0, 0, 0
0.403483, 0, 0, 0, 0, 0
0.406818, 0, 0, 0, 0, 0
0.410111, 0, 0, 0, 0, 0
0.413483, 0, 0, 0, 0, 0
0.416816, 0, 0, 0, 0, 0
0.420107, 0, 0, 0, 0, 0
0.423436, 0, 0, 0, 0, 0
0.426783, 0, 0, 0, 0, 0
0.430148, 0, 0, 0, 0, 0
0.433484, 0, 0, 0, 0, 0
0.436816, 0, 0, 0, 0, 0
0.440125, 0, 0, 0, 0, 0
0.443432, 0, 0, 0, 0, 0
0.446814, 0, 0, 0, 0, 0
0.4501, 0, 0, 0, 0, 0
0.453479, 0, 0, 0, 0, 0
0.456814, 0, 0, 0, 0, 0
0.460124, 0, 0, 0, 0, 0
0.463484, 0, 0, 0, 0, 0
0.466789, 0, 0, 0, 0, 0
0.470149, 0, 0, 0, 0, 0
0.473484, 0, 0, 0, 0, 0
0.476793, 0, 0, 0, 0, 0
0.480101, 0, 0, 0, 0, 0
0.48349, 0, 0, 0, 0, 0
0.486814, 0, 0, 0, 0, 0
0.490147, 0, 0, 0, 0, 0
0.49348, 0, 0, 0, 0, 0
0.496818, 0, 0, 0, 0, 0
0.5001, 0, 0, 0, 0, 0
0.5035, 0, 0, 0, 0, 0
0.506819, 0, 0, 0, 0, 0
0.510094, 0, 0, 0, 0, 0
0.513482, 0, 0, 0, 0, 0
0.51682, 0, 0, 0, 0, 0
