2.09808e-05, 0, 0, 0, -nan, -nan
0.00339627, 0, 0, 0, -nan, -nan
0.00674653, 0, 0, 0, 0, 0
0.0100653, 0, 0, 0, 0, 0
0.013402, 0, 0, 0, 0, 0
0.0167334, 0, 0, 0, 0, 0
0.0200911, 0, 0, 0, 0, 0
0.0234108, 0, 0, 0, 0, 0
0.026747, 0, 0, 0, 0, 0
0.0300899, 0, 0, 0, 0, 0
0.0334303, 0, 0, 0, 0, 0
0.0367353, 0, 0, 0, 0, 0
0.0401022, 0, 0, 0, 0, 0
0.0434186, 0, 0, 0, 0, 0
0.0467398, 0, 0, 0, 0, 0
0.0500884, 0, 0, 0, 0, 0
0.0534341, 0, 0, 0, 0, 0
0.0567815, 0, 0, 0, 0, 0
0.0601199, 0, 0, 0, 0, 0
0.0634792, 0, 0, 0, 0, 0
0.0667329, 0, 0, 0, 0, 0
0.0700967, 0, 0, 0, 0, 0
0.0734396, 0, 0, 0, 0, 0
0.0767736, 0, 0, 0, 0, 0
0.0801024, 0, 0, 0, 0, 0
0.0834348, 0, 0, 0, 0, 0
0.0867696, 0, 0, 0, 0, 0
0.0901115, 0, 0, 0, 0, 0
0.0934808, 0, 0, 0, 0, 0
0.0967915, 0, 0, 0, 0, 0
0.100106, 0, 0, 0, 0, 0
0.103483, 0, 0, 0, 0, 0
0.106738, 0, 0, 0, 0, 0
0.110122, 0, 0, 0, 0, 0
0.113437, 0, 0, 0, 0, 0
0.116783, 0, 0, 0, 0, 0
0.120095, 0, 0, 0, 0, 0
0.123445, 0, 0, 0, 0, 0
0.126815, 0, 0, 0, 0, 0
0.130081, 0, 0, 0, 0, 0
0.133479, 0, 0, 0, 0, 0
0.136817, 0, 0, 0, 0, 0
0.14009, 0, 0, 0, 0, 0
0.143481, 0, 0, 0, 0, 0
0.146816, 0, 0, 0, 0, 0
0.15015, 0, 0, 0, 0, 0
0.153433, 0, 0, 0, 0, 0
0.156782, 0, 0, 0, 0, 0
0.160109, 0, 0, 0, 0, 0
0.163481, 0, 0, 0, 0, 0
0.166787, 0, 0, 0, 0, 0
0.170098, 0, 0, 0, 0, 0
0.173445, 0, 0, 0, 0, 0
0.176815, 0, 0, 0, 0, 0
0.180113, 0, 0, 0, 0, 0
0.183415, 0, 0, 0, 0, 0
0.186734, 0, 0, 0, 0, 0
0.19009, 0, 0, 0, 0, 0
0.193449, 0, 0, 0, 0, 0
0.196757, 0, 0, 0, 0, 0
0.200102, 0, 0, 0, 0, 0
0.203481, 0, 0, 0, 0, 0
0.206772, 0, 0, 0, 0, 0
0.210113, 0, 0, 0, 0, 0
0.213479, 0, 0, 0, 0, 0
0.216771, 0, 0, 0, 0, 0
0.220103, 0, 0, 0, 0, 0
0.223463, 0, 0, 0, 0, 0
0.226771, 0, 0, 0, 0, 0
0.230117, 0, 0, 0, 0, 0
0.233436, 0, 0, 0, 0, 0
0.236815, 0, 0, 0, 0, 0
0.240114, 0, 0, 0, 0, 0
0.24348, 0, 0, 0, 0, 0
0.246814, 0, 0, 0, 0, 0
0.250112, 0, 0, 0, 0, 0
0.253478, 0, 0, 0, 0, 0
0.256814, 0, 0, 0, 0, 0
0.260108, 0, 0, 0, 0, 0
0.263432, 0, 0, 0, 0, 0
0.26675, 0, 0, 0, 0, 0
0.270111, 0, 0, 0, 0, 0
0.273448, 0, 0, 0, 0, 0
0.276767, 0, 0, 0, 0, 0
0.280111, 0, 0, 0, 0, 0
0.283484, 0, 0, 0, 0, 0
0.286815, 0, 0, 0, 0, 0
0.290151, 0, 0, 0, 0, 0
0.293433, 0, 0, 0, 0, 0
0.296786, 0, 0, 0, 0, 0
0.300105, 0, 0, 0, 0, 0
0.303433, 0, 0, 0, 0, 0
0.306811, 0, 0, 0, 0, 0
0.310112, 0, 0, 0, 0, 0
0.313451, 0, 0, 0, 0, 0
0.316814, 0, 0, 0, 0, 0
0.320112, 0, 0, 0, 0, 0
0.323446, 0, 0, 0, 0, 0
0.326771, 0, 0, 0, 0, 0
0.330094, 0, 0, 0, 0, 0
0.333451, 0, 0, 0, 0, 0
0.336816, 0, 0, 0, 0, 0
0.340106, 0, 0, 0, 0, 0
0.343483, 0, 0, 0, 0, 0
0.346818, 0, 0, 0, 0, 0
0.350153, 0, 0, 0, 0, 0
0.353483, 0, 0, 0, 0, 0
0.356769, 0, 0, 0, 0, 0
0.360098, 0, 0, 0, 0, 0
0.363454, 0, 0, 0, 0, 0
0.366815, 0, 0, 0, 0, 0
0.370122, 0, 0, 0, 0, 0
0.373485, 0, 0, 0, 0, 0
0.376787, 0, 0, 0, 0, 0
0.380106, 0, 0, 0, 0, 0
0.383484, 0, 0, 0, 0, 0
0.386744, 0, 0, 0, 0, 0
0.39011, 0, 0, 0, 0, 0
0.393477, 0, 0, 0, 0, 0
0.396814, 0, 0, 0, 0, 0
0.400145, 0, 0, 0, 0, 0
0.403436, 0, 0, 0, 0, 0
0.406782, 0, 0, 0, 0, 0
0.41015, 0, 0, 0, 0, 0
0.413429, 0, 0, 0, 0, 0
0.416797, 0, 0, 0, 0, 0
0.420146, 0, 0, 0, 0, 0
0.42344, 0, 0, 0, 0, 0
0.426815, 0, 0, 0, 0, 0
0.430105, 0, 0, 0, 0, 0
0.433445, 0, 0, 0, 0, 0
0.436815, 0, 0, 0, 0, 0
0.440103, 0, 0, 0, 0, 0
0.44348, 0, 0, 0, 0, 0
0.446786, 0, 0, 0, 0, 0
0.450097, 0, 0, 0, 0, 0
0.453434, 0, 0, 0, 0, 0
